Schedule;Course;Speaker(s);Room
08:30 – 09:15;Welcome;Priscilla Bayle, Christine Couture, Frédéric Santos;PABA @B5
09:15 – 10:15;General introduction: 3D imaging in archaeological sciences ;Priscilla Bayle;PABA @B5
10:15 – 12:00;Data acquisition: general theory;Adeline Le Cabec, Antoine Souron, Nicolas Vanderesse;PABA @B5
12:00 – 13:30;Lunch break;;TD1 @B7
13:30 – 14:45;Group 1: 3D data acquisition (theory);Adeline Le Cabec, Nicolas Vanderesse;Placamat
13:30 – 14:45;Group 2: 2D data acquisition (theory);Antoine Souron;TD1 @B7
14:45 – 15:00;Coffee break;;TD1 @B7
15:00 – 16:15;Group 1: 2D data acquisition (theory);Antoine Souron;TD1 @B7
15:00 – 16:15;Group 2: 3D data acquisition (theory);Adeline Le Cabec, Nicolas Vanderesse;Placamat
16:15 – 16:30;Coffee break;;TD1 @B7
16:30 – 17:00;Data acquisition: summary;Adeline Le Cabec, Antoine Souron, Nicolas Vanderesse;TD1 @B7
